date,time,open,high,low,close,amount,volume,reserve
2022/07/14,09:31:00,3277.449951171875,3277.449951171875,3271.389892578125,3272.8798828125,12280625152.0,122806243,78840468
2022/07/14,09:32:00,3273.469970703125,3274.300048828125,3272.780029296875,3272.989990234375,5787538432.0,57875378,75629310
2022/07/14,09:33:00,3273.52001953125,3273.52001953125,3269.699951171875,3269.699951171875,5868624896.0,58686237,83362492
2022/07/14,09:34:00,3269.52001953125,3271.5,3267.3701171875,3269.39990234375,5850451456.0,58504503,77726484
2022/07/14,09:35:00,3269.280029296875,3269.280029296875,3267.530029296875,3267.889892578125,5077200896.0,50772003,78840599
2022/07/14,09:36:00,3267.389892578125,3267.969970703125,3266.56005859375,3266.719970703125,5124764672.0,51247636,75498350
2022/07/14,09:37:00,3266.7099609375,3269.47998046875,3266.090087890625,3268.81005859375,4825603584.0,48256027,71041951
2022/07/14,09:38:00,3268.6298828125,3268.6298828125,3263.89990234375,3265.389892578125,4742663680.0,47426632,74646381
2022/07/14,09:39:00,3265.6201171875,3266.280029296875,3264.8798828125,3266.280029296875,3889013248.0,38890123,74253171
2022/07/14,09:40:00,3266.72998046875,3266.72998046875,3265.14990234375,3265.699951171875,4176049408.0,41760486,74253178
2022/07/14,09:41:00,3265.7099609375,3267.0,3265.7099609375,3265.969970703125,3986222336.0,39862214,73466767
2022/07/14,09:42:00,3265.449951171875,3265.449951171875,3263.550048828125,3263.610107421875,4005617408.0,40056164,76874598
2022/07/14,09:43:00,3263.050048828125,3263.050048828125,3261.489990234375,3262.7900390625,4037123840.0,40371229,78971723
2022/07/14,09:44:00,3262.530029296875,3264.110107421875,3262.530029296875,3264.110107421875,3655732224.0,36557314,78250845
2022/07/14,09:45:00,3263.919921875,3265.179931640625,3263.39990234375,3265.179931640625,3356894464.0,33568934,76546930
2022/07/14,09:46:00,3264.889892578125,3264.949951171875,3263.2900390625,3263.300048828125,3443843328.0,34438427,79233873
2022/07/14,09:47:00,3263.81005859375,3270.590087890625,3263.81005859375,3270.590087890625,3534326784.0,35343264,71304138
2022/07/14,09:48:00,3270.860107421875,3273.590087890625,3270.860107421875,3271.949951171875,3618813184.0,36188125,66061328
2022/07/14,09:49:00,3271.93994140625,3273.1201171875,3271.159912109375,3273.1201171875,2967636736.0,29676358,65405981
2022/07/14,09:50:00,3273.409912109375,3273.409912109375,3270.389892578125,3270.5,3294974720.0,32949742,66913287
2022/07/14,09:51:00,3269.93994140625,3272.760009765625,3268.93994140625,3272.280029296875,3428848896.0,34288479,66520077
2022/07/14,09:52:00,3272.6298828125,3272.6298828125,3270.75,3270.75,3257824512.0,32578237,69600224
2022/07/14,09:53:00,3270.340087890625,3270.6201171875,3267.280029296875,3267.739990234375,3027275776.0,30272746,73008046
2022/07/14,09:54:00,3267.5400390625,3268.919921875,3267.090087890625,3267.8798828125,2876378368.0,28763774,72418225
2022/07/14,09:55:00,3268.22998046875,3269.8701171875,3268.090087890625,3269.550048828125,2859648512.0,28596474,72942514
2022/07/14,09:56:00,3269.159912109375,3270.669921875,3268.31005859375,3270.669921875,2778624256.0,27786233,72745919
2022/07/14,09:57:00,3270.239990234375,3273.2099609375,3270.239990234375,3272.830078125,2859902208.0,28599009,70779865
2022/07/14,09:58:00,3272.679931640625,3275.219970703125,3272.56005859375,3274.9599609375,2710159616.0,27101587,69141486
2022/07/14,09:59:00,3274.81005859375,3276.800048828125,3274.81005859375,3276.5,2557334528.0,25573336,67437578
2022/07/14,10:00:00,3276.530029296875,3276.800048828125,3275.139892578125,3275.929931640625,2428690432.0,24286896,68748282
2022/07/14,10:01:00,3275.6201171875,3280.419921875,3275.6201171875,3280.419921875,2720169216.0,27201687,65340455
2022/07/14,10:02:00,3280.5,3280.5,3279.280029296875,3279.81005859375,2624705024.0,26247042,64881711
2022/07/14,10:03:00,3279.929931640625,3280.8701171875,3279.580078125,3280.320068359375,2436577536.0,24365765,65274926
2022/07/14,10:04:00,3280.68994140625,3280.68994140625,3277.8798828125,3277.8798828125,2499633920.0,24996331,66061330
2022/07/14,10:05:00,3277.85009765625,3279.139892578125,3277.64990234375,3278.75,2072275584.0,20722747,65471532
2022/07/14,10:06:00,3278.9599609375,3278.9599609375,3276.510009765625,3276.510009765625,2244398336.0,22443974,66454563
2022/07/14,10:07:00,3276.6201171875,3277.7900390625,3275.429931640625,3277.68994140625,2164306944.0,21643061,65537063
2022/07/14,10:08:00,3277.97998046875,3278.699951171875,3277.25,3278.389892578125,1870952064.0,18709511,66126896
2022/07/14,10:09:00,3278.56005859375,3279.199951171875,3278.409912109375,3279.199951171875,2107739392.0,21077387,64881725
2022/07/14,10:10:00,3279.0400390625,3279.5400390625,3278.5,3278.5,2297634560.0,22976333,65733677
2022/07/14,10:11:00,3278.320068359375,3278.89990234375,3277.93994140625,3278.679931640625,2214523904.0,22145231,64160824
2022/07/14,10:12:00,3278.4599609375,3279.409912109375,3277.85009765625,3278.639892578125,2048201984.0,20482011,65799217
2022/07/14,10:13:00,3278.75,3278.75,3277.530029296875,3278.14990234375,1969277184.0,19692758,65864743
2022/07/14,10:14:00,3277.919921875,3278.06005859375,3277.25,3277.760009765625,1860022272.0,18600212,67306516
2022/07/14,10:15:00,3277.669921875,3279.39990234375,3277.669921875,3279.0,1939648640.0,19396477,65930279
2022/07/14,10:16:00,3279.27001953125,3279.800048828125,3279.0,3279.239990234375,2108987008.0,21089861,66192418
2022/07/14,10:17:00,3278.929931640625,3278.929931640625,3276.590087890625,3276.909912109375,2107506816.0,21075057,67372050
2022/07/14,10:18:00,3276.64990234375,3278.610107421875,3276.64990234375,3278.179931640625,1887042304.0,18870414,66520098
2022/07/14,10:19:00,3278.300048828125,3279.2099609375,3278.110107421875,3278.840087890625,1850332672.0,18503317,65799199
2022/07/14,10:20:00,3279.02001953125,3279.14990234375,3277.7900390625,3278.10009765625,1858243584.0,18582423,66913298
2022/07/14,10:21:00,3278.169921875,3279.0400390625,3278.02001953125,3278.969970703125,1958372352.0,19583715,66716689
2022/07/14,10:22:00,3278.85009765625,3281.830078125,3278.85009765625,3281.830078125,2325000704.0,23249995,64619567
2022/07/14,10:23:00,3281.860107421875,3282.39990234375,3281.14990234375,3281.489990234375,2272354560.0,22723535,64029753
2022/07/14,10:24:00,3281.699951171875,3283.389892578125,3281.47998046875,3283.389892578125,1958825856.0,19588248,63636542
2022/07/14,10:25:00,3283.429931640625,3283.7099609375,3282.75,3283.27001953125,1967626240.0,19676256,63571010
2022/07/14,10:26:00,3283.10009765625,3283.10009765625,3281.449951171875,3281.93994140625,1986189184.0,19861883,64357434
2022/07/14,10:27:00,3281.22998046875,3281.919921875,3279.97998046875,3281.8701171875,1894415872.0,18944148,64816173
2022/07/14,10:28:00,3281.919921875,3281.929931640625,3280.85009765625,3281.239990234375,1743577088.0,17435759,64947250
2022/07/14,10:29:00,3280.97998046875,3281.679931640625,3280.97998046875,3281.449951171875,1836440960.0,18364399,63767608
2022/07/14,10:30:00,3281.6201171875,3282.139892578125,3281.320068359375,3281.969970703125,1850068224.0,18500672,63374409
2022/07/14,10:31:00,3281.77001953125,3282.219970703125,3280.22998046875,3280.47998046875,2125575296.0,21255742,62784590
2022/07/14,10:32:00,3280.6298828125,3280.6298828125,3278.89990234375,3279.739990234375,1969670144.0,19696690,64226370
2022/07/14,10:33:00,3279.6201171875,3279.919921875,3279.0,3279.919921875,1639112832.0,16391118,64029760
2022/07/14,10:34:00,3279.719970703125,3281.22998046875,3279.719970703125,3280.7900390625,1595209216.0,15952086,63767624
2022/07/14,10:35:00,3280.6298828125,3283.219970703125,3280.6298828125,3283.219970703125,1614266368.0,16142652,63243343
2022/07/14,10:36:00,3282.5,3284.590087890625,3282.5,3284.590087890625,1669772288.0,16697715,62260317
2022/07/14,10:37:00,3284.489990234375,3285.4599609375,3284.489990234375,3285.4599609375,1543365632.0,15433643,61473892
2022/07/14,10:38:00,3285.56005859375,3287.47998046875,3285.56005859375,3287.47998046875,1685554560.0,16855536,59442299
2022/07/14,10:39:00,3286.93994140625,3288.550048828125,3286.93994140625,3288.419921875,1697619840.0,16976188,58066063
2022/07/14,10:40:00,3288.610107421875,3288.610107421875,3286.679931640625,3287.409912109375,1634483712.0,16344825,58459281
2022/07/14,10:41:00,3286.93994140625,3287.1201171875,3285.89990234375,3286.8798828125,1591872896.0,15918717,58066074
2022/07/14,10:42:00,3286.639892578125,3287.6298828125,3286.409912109375,3287.2099609375,1381982464.0,13819811,57607332
2022/07/14,10:43:00,3287.39990234375,3287.39990234375,3285.739990234375,3286.0400390625,1438683392.0,14386823,58328216
2022/07/14,10:44:00,3285.679931640625,3287.050048828125,3284.919921875,3287.050048828125,1434793088.0,14347922,57476257
2022/07/14,10:45:00,3286.739990234375,3287.260009765625,3286.1298828125,3287.260009765625,1324002688.0,13240016,57607332
2022/07/14,10:46:00,3287.320068359375,3287.489990234375,3286.60009765625,3286.780029296875,1496562048.0,14965609,57214123
2022/07/14,10:47:00,3287.1201171875,3288.4599609375,3286.7900390625,3288.4599609375,1477172736.0,14771716,56296635
2022/07/14,10:48:00,3288.6201171875,3288.659912109375,3286.56005859375,3286.7900390625,1402350080.0,14023489,56296642
2022/07/14,10:49:00,3286.6298828125,3286.72998046875,3286.030029296875,3286.3701171875,1270565760.0,12705647,56624309
