date,open,high,low,close,amount,volume,reserve
2010/01/04,3289.75,3295.28,3243.32,3243.76,136464146432.0,122446259,32571764
2010/01/05,3254.47,3290.51,3221.46,3282.18,165339381760.0,142274964,18416221
2010/01/06,3277.52,3295.87,3253.04,3254.21,160284426240.0,135131301,34210145
2010/01/07,3253.99,3268.82,3176.71,3192.78,160533823488.0,145228703,51708014
2010/01/08,3177.26,3198.92,3149.02,3196.0,124813623296.0,114602542,14221972
2010/01/11,3301.61,3306.75,3197.33,3212.75,182514876416.0,161502182,26477026
2010/01/12,3205.7,3275.2,3180.08,3273.97,177844224000.0,159128744,5374770
2010/01/13,3204.98,3232.82,3165.49,3172.66,202360602624.0,185213142,42729717
2010/01/14,3183.38,3219.02,3165.6,3215.55,171208540160.0,151986663,2687836
2010/01/15,3217.19,3241.82,3197.22,3224.15,153643335680.0,131414089,21037605
2010/01/18,3213.64,3238.24,3202.21,3237.1,171726454784.0,145703540,10552026
2010/01/19,3242.22,3268.81,3236.84,3246.87,165774835712.0,144950161,31392150
2010/01/20,3252.04,3255.13,3148.33,3151.85,195394207744.0,172555629,51839084
2010/01/21,3154.19,3176.15,3126.9,3158.86,145694261248.0,132639664,21037627
2010/01/22,3118.72,3147.83,3062.63,3128.59,167218413568.0,156427043,48562339
2010/01/25,3103.32,3137.0,3092.93,3094.41,98070519808.0,93994068,46399667
2010/01/26,3094.85,3107.2,3001.96,3019.39,112348086272.0,109494648,56098872
2010/01/27,3020.54,3028.65,2972.63,2986.61,93409853440.0,93150250,40567039
2010/01/28,2985.21,3006.04,2963.89,2994.14,87828856832.0,85167124,9765590
2010/01/29,2979.74,3024.85,2968.45,2989.29,97625178112.0,91271121,23593463
2010/02/01,2981.37,2981.37,2912.89,2941.36,105912139776.0,100564350,39649578
2010/02/02,2955.75,2990.75,2930.56,2934.71,99637895168.0,93734932,36503878
2010/02/03,2945.03,3005.13,2890.02,3003.83,122261766144.0,119005325,11010782
2010/02/04,2983.05,3015.13,2968.68,2995.31,116737007616.0,111441893,20382264
2010/02/05,2936.2,2959.23,2918.91,2939.4,112754032640.0,107746151,48562334
2010/02/08,2936.45,2954.27,2922.19,2935.17,74134929408.0,68452322,25493987
2010/02/09,2932.09,2957.47,2929.21,2948.84,69304770560.0,69093617,23134740
2010/02/10,2967.14,2983.18,2958.22,2982.5,68177453056.0,62322402,8520433
2010/02/11,2985.08,3001.64,2976.08,2985.5,65796304896.0,62462058,36045119
2010/02/12,2996.09,3018.86,2993.44,3018.13,67723890688.0,60694994,5243693
2010/02/22,3016.7,3026.66,3002.81,3003.4,79980085248.0,75193872,30212512
